Result, Test Name, Power Priority, Power Level, Iteration, Var MSA, Dataset File,Point Result, Var Actual, Var Target, Var Min Allowed, Var Max Allowed
, , , , , , , Pass, -617.16, -450.0, -850.0, -50.0
, , , , , , , Pass, -618.349, -450.0, -850.0, -50.0
, , , , , , , Pass, -608.938, -450.0, -850.0, -50.0
Fail, VV_3_100_up_1, Reactive, 100.0, 3, 400.0, VV_3_100_up_1.csv, , , , , 
, , , , , , , Pass, -624.483, -450.0, -850.0, -50.0
, , , , , , , Pass, -623.425, -450.0, -850.0, -50.0
, , , , , , , Pass, -610.801, -450.0, -850.0, -50.0
, , , , , , , Pass, -605.251, -450.0, -850.0, 104.6
, , , , , , , Pass, -607.637, -357.0, -850.0, 228.7
, , , , , , , Pass, -607.268, -270.7, -850.0, 315.0
, , , , , , , Pass, -600.772, -141.6, -727.3, 400.0
, , , , , , , Fail, -613.932, -27.7, -613.3, 400.0
, , , , , , , Fail, -596.641, 0.0, -400.0, 400.0
, , , , , , , Fail, -572.704, 0.0, -400.0, 400.0
, , , , , , , Pass, -367.74, 0.0, -400.0, 400.0
, , , , , , , Pass, -207.572, 0.0, -400.0, 542.4
, , , , , , , Pass, -206.815, 75.2, -400.0, 664.6
, , , , , , , Pass, -201.533, 183.1, -400.0, 772.5
, , , , , , , Pass, -196.334, 278.6, -310.8, 850.0
, , , , , , , Fail, -208.259, 416.7, -172.7, 850.0
, , , , , , , Pass, 211.446, 450.0, 50.0, 850.0
, , , , , , , Pass, 220.874, 450.0, 50.0, 850.0
, , , , , , , Pass, 217.566, 450.0, 50.0, 850.0
Fail, VV_3_100_down_2, Reactive, 100.0, 3, 400.0, VV_3_100_down_2.csv, , , , , 
, , , , , , , Pass, 228.137, 450.0, 50.0, 850.0
, , , , , , , Pass, 214.873, 450.0, 50.0, 850.0
, , , , , , , Pass, 209.692, 450.0, 50.0, 850.0
, , , , , , , Fail, -202.798, 434.3, -155.1, 850.0
, , , , , , , Pass, -196.695, 314.4, -275.0, 850.0
, , , , , , , Pass, -213.635, 196.2, -393.2, 785.6
, , , , , , , Pass, -191.94, 83.5, -400.0, 672.9
, , , , , , , Pass, -204.311, 0.0, -400.0, 555.3
, , , , , , , Pass, -372.96, 0.0, -400.0, 400.0
, , , , , , , Fail, -573.647, 0.0, -400.0, 400.0
, , , , , , , Fail, -600.593, 0.0, -400.0, 400.0
, , , , , , , Fail, -608.682, -6.9, -592.5, 400.0
, , , , , , , Pass, -603.636, -121.4, -707.1, 400.0
, , , , , , , Pass, -599.739, -241.5, -827.2, 344.1
, , , , , , , Pass, -601.716, -349.9, -850.0, 235.7
, , , , , , , Pass, -613.248, -450.0, -850.0, 125.2
, , , , , , , Pass, -607.029, -450.0, -850.0, -50.0
, , , , , , , Pass, -619.927, -450.0, -850.0, -50.0
, , , , , , , Pass, -605.286, -450.0, -850.0, -50.0
Fail, VV_3_100_up_2, Reactive, 100.0, 3, 400.0, VV_3_100_up_2.csv, , , , , 
, , , , , , , Pass, -604.484, -450.0, -850.0, -50.0
, , , , , , , Pass, -617.599, -450.0, -850.0, -50.0
, , , , , , , Pass, -613.11, -450.0, -850.0, -50.0
, , , , , , , Pass, -598.223, -450.0, -850.0, 120.4
, , , , , , , Pass, -606.574, -360.7, -850.0, 224.9
, , , , , , , Pass, -602.513, -244.1, -829.8, 341.5
, , , , , , , Pass, -600.38, -143.5, -729.1, 400.0
, , , , , , , Pass, -608.381, -26.9, -612.6, 400.0
, , , , , , , Fail, -596.279, 0.0, -400.0, 400.0
, , , , , , , Fail, -571.078, 0.0, -400.0, 400.0
, , , , , , , Pass, -376.363, 0.0, -400.0, 400.0
, , , , , , , Pass, -213.646, 0.0, -400.0, 549.8
, , , , , , , Pass, -197.254, 65.7, -400.0, 655.1
, , , , , , , Pass, -212.219, 185.0, -400.0, 774.4
, , , , , , , Pass, -196.432, 295.6, -293.7, 850.0
, , , , , , , Fail, -204.449, 412.1, -177.3, 850.0
, , , , , , , Pass, 220.449, 450.0, 50.0, 850.0
, , , , , , , Pass, 212.071, 450.0, 50.0, 850.0
, , , , , , , Pass, 223.366, 450.0, 50.0, 850.0
Fail, VV_3_100_down_3, Reactive, 100.0, 3, 400.0, VV_3_100_down_3.csv, , , , , 
, , , , , , , Pass, 216.338, 450.0, 50.0, 850.0
, , , , , , , Pass, 213.977, 450.0, 50.0, 850.0
, , , , , , , Pass, 209.75, 450.0, 50.0, 850.0
, , , , , , , Fail, -203.085, 412.3, -177.1, 850.0
, , , , , , , Pass, -200.123, 294.5, -294.9, 850.0
, , , , , , , Pass, -203.567, 186.7, -400.0, 776.1
, , , , , , , Pass, -206.244, 81.1, -400.0, 670.5
, , , , , , , Pass, -204.441, 0.0, -400.0, 554.9
, , , , , , , Pass, -368.997, 0.0, -400.0, 400.0
, , , , , , , Fail, -573.671, 0.0, -400.0, 400.0
, , , , , , , Fail, -596.855, 0.0, -400.0, 400.0
, , , , , , , Fail, -609.493, -8.5, -594.2, 400.0
, , , , , , , Pass, -607.184, -137.7, -723.4, 400.0
, , , , , , , Pass, -612.766, -250.1, -835.7, 335.6
, , , , , , , Pass, -600.782, -357.2, -850.0, 228.5
, , , , , , , Pass, -604.073, -450.0, -850.0, 131.6
, , , , , , , Pass, -615.306, -450.0, -850.0, -50.0
, , , , , , , Pass, -621.301, -450.0, -850.0, -50.0
, , , , , , , Pass, -611.525, -450.0, -850.0, -50.0
Fail, VV_3_100_up_3, Reactive, 100.0, 3, 400.0, VV_3_100_up_3.csv, , , , , 
, , , , , , , Pass, -584.069, -450.0, -850.0, -50.0
, , , , , , , Pass, -582.688, -450.0, -850.0, -50.0
, , , , , , , Pass, -580.67, -450.0, -850.0, -50.0
, , , , , , , Pass, -578.252, -415.8, -850.0, 169.8
, , , , , , , Pass, -568.852, -308.0, -850.0, 277.7
, , , , , , , Pass, -570.763, -194.7, -780.4, 390.9
, , , , , , , Pass, -565.637, -88.7, -674.4, 400.0
, , , , , , , Fail, -575.968, 0.0, -571.9, 400.0
, , , , , , , Fail, -555.416, 0.0, -400.0, 400.0
, , , , , , , Pass, -377.46, 0.0, -400.0, 400.0
, , , , , , , Pass, -179.294, 0.0, -400.0, 400.0
, , , , , , , Pass, -177.627, 11.7, -400.0, 601.1
, , , , , , , Pass, -175.66, 118.0, -400.0, 707.4
, , , , , , , Pass, -173.541, 212.7, -376.7, 802.1
, , , , , , , Pass, -173.944, 340.3, -249.1, 850.0
, , , , , , , Fail, -170.472, 450.0, -134.3, 850.0
, , , , , , , Pass, 233.835, 450.0, 50.0, 850.0
, , , , , , , Pass, 231.186, 450.0, 50.0, 850.0
, , , , , , , Pass, 238.452, 450.0, 50.0, 850.0
Fail, VV_3_66_down_1, Reactive, 66.0, 5, 400.0, VV_3_66_down_1.csv, , , , , 
, , , , , , , Pass, 241.945, 450.0, 50.0, 850.0
, , , , , , , Pass, 233.136, 450.0, 50.0, 850.0
, , , , , , , Pass, 232.364, 450.0, 50.0, 850.0
, , , , , , , Fail, -167.898, 450.0, -135.8, 850.0
, , , , , , , Pass, -173.042, 339.2, -250.2, 850.0
, , , , , , , Pass, -178.733, 234.3, -355.1, 823.7
, , , , , , , Pass, -175.62, 114.8, -400.0, 704.2
, , , , , , , Pass, -180.48, 0.0, -400.0, 588.6
, , , , , , , Pass, -179.087, 0.0, -400.0, 400.0
, , , , , , , Pass, -373.555, 0.0, -400.0, 400.0
, , , , , , , Fail, -553.183, 0.0, -400.0, 400.0
, , , , , , , Pass, -567.953, 0.0, -571.5, 400.0
, , , , , , , Pass, -570.216, -98.9, -684.6, 400.0
, , , , , , , Pass, -577.096, -209.2, -794.9, 376.4
, , , , , , , Pass, -561.041, -324.3, -850.0, 261.3
, , , , , , , Pass, -573.875, -423.5, -850.0, 162.2
, , , , , , , Pass, -578.654, -450.0, -850.0, -50.0
, , , , , , , Pass, -589.179, -450.0, -850.0, -50.0
, , , , , , , Pass, -582.258, -450.0, -850.0, -50.0
Fail, VV_3_66_up_1, Reactive, 66.0, 5, 400.0, VV_3_66_up_1.csv, , , , , 
, , , , , , , Pass, -579.66, -450.0, -850.0, -50.0
, , , , , , , Pass, -586.387, -450.0, -850.0, -50.0
, , , , , , , Pass, -580.12, -450.0, -850.0, -50.0
, , , , , , , Pass, -571.507, -431.3, -850.0, 154.4
, , , , , , , Pass, -566.544, -313.9, -850.0, 271.7
, , , , , , , Pass, -579.01, -208.1, -793.7, 377.5
, , , , , , , Pass, -570.721, -84.3, -669.9, 400.0
, , , , , , , Pass, -567.578, 0.0, -570.0, 400.0
, , , , , , , Fail, -549.052, 0.0, -400.0, 400.0
, , , , , , , Pass, -366.425, 0.0, -400.0, 400.0
, , , , , , , Pass, -180.448, 0.0, -400.0, 400.0
, , , , , , , Pass, -182.046, 9.3, -400.0, 598.7
, , , , , , , Pass, -168.484, 118.7, -400.0, 708.1
, , , , , , , Pass, -176.22, 234.7, -354.7, 824.1
, , , , , , , Pass, -173.243, 348.3, -241.1, 850.0
, , , , , , , Fail, -168.144, 450.0, -127.7, 850.0
, , , , , , , Pass, 236.158, 450.0, 50.0, 850.0
, , , , , , , Pass, 233.905, 450.0, 50.0, 850.0
, , , , , , , Pass, 245.718, 450.0, 50.0, 850.0
Fail, VV_3_66_down_2, Reactive, 66.0, 5, 400.0, VV_3_66_down_2.csv, , , , , 
, , , , , , , Pass, 244.779, 450.0, 50.0, 850.0
, , , , , , , Pass, 234.44, 450.0, 50.0, 850.0
, , , , , , , Pass, 230.824, 450.0, 50.0, 850.0
, , , , , , , Fail, -176.482, 450.0, -120.3, 850.0
, , , , , , , Pass, -179.68, 350.4, -239.0, 850.0
, , , , , , , Pass, -178.499, 224.2, -365.2, 813.6
